variant,query,repetition,latency_ms
metadata,gc_range_count,15,4.535902
metadata,gc_range_count,16,4.557699
metadata,gc_range_count,17,4.546376
metadata,gc_range_count,18,4.539725
metadata,gc_range_count,19,4.563241
metadata,gc_range_count,20,4.581973
metadata,gc_range_count,21,4.585228
metadata,gc_range_count,22,4.558272
metadata,gc_range_count,23,4.537513
metadata,gc_range_count,24,4.509898
metadata,gc_range_count,25,4.547222
metadata,gc_range_count,26,4.56306
metadata,gc_range_count,27,4.52421
metadata,gc_range_count,28,4.560597
metadata,gc_range_count,29,4.580867
metadata,gc_range_count,30,4.552905
metadata,top_100_longest,1,0.083224
metadata,top_100_longest,2,0.139116
metadata,top_100_longest,3,0.099491
metadata,top_100_longest,4,0.09988
metadata,top_100_longest,5,0.098533
metadata,top_100_longest,6,0.102039
metadata,top_100_longest,7,0.098877
metadata,top_100_longest,8,0.099178
metadata,top_100_longest,9,0.098977
metadata,top_100_longest,10,0.098494
metadata,top_100_longest,11,0.09846
metadata,top_100_longest,12,0.105192
metadata,top_100_longest,13,0.099478
metadata,top_100_longest,14,0.099933
metadata,top_100_longest,15,0.098566
metadata,top_100_longest,16,0.099746
metadata,top_100_longest,17,0.099628
metadata,top_100_longest,18,0.099648
metadata,top_100_longest,19,0.098685
metadata,top_100_longest,20,0.124012
metadata,top_100_longest,21,0.118576
metadata,top_100_longest,22,0.098392
metadata,top_100_longest,23,0.098843
metadata,top_100_longest,24,0.098298
metadata,top_100_longest,25,0.098349
metadata,top_100_longest,26,0.099373
metadata,top_100_longest,27,0.09872
metadata,top_100_longest,28,0.098399
metadata,top_100_longest,29,0.098513
metadata,top_100_longest,30,0.098718
metadata,indexed_lookup_batch_200,1,1.710443
metadata,indexed_lookup_batch_200,2,1.739464
metadata,indexed_lookup_batch_200,3,1.615195
metadata,indexed_lookup_batch_200,4,1.646488
metadata,indexed_lookup_batch_200,5,1.628161
metadata,indexed_lookup_batch_200,6,1.635964
metadata,indexed_lookup_batch_200,7,1.632568
metadata,indexed_lookup_batch_200,8,1.573959
metadata,indexed_lookup_batch_200,9,1.71945
metadata,indexed_lookup_batch_200,10,1.628566
metadata,indexed_lookup_batch_200,11,1.64431
metadata,indexed_lookup_batch_200,12,1.623128
metadata,indexed_lookup_batch_200,13,1.71268
metadata,indexed_lookup_batch_200,14,1.595295
metadata,indexed_lookup_batch_200,15,1.630838
metadata,indexed_lookup_batch_200,16,1.629872
metadata,indexed_lookup_batch_200,17,1.601515
metadata,indexed_lookup_batch_200,18,1.619331
metadata,indexed_lookup_batch_200,19,1.598985
metadata,indexed_lookup_batch_200,20,1.593219
metadata,indexed_lookup_batch_200,21,1.65548
metadata,indexed_lookup_batch_200,22,1.561893
metadata,indexed_lookup_batch_200,23,1.66228
metadata,indexed_lookup_batch_200,24,1.638775
metadata,indexed_lookup_batch_200,25,1.600297
metadata,indexed_lookup_batch_200,26,1.686625
metadata,indexed_lookup_batch_200,27,1.656059
metadata,indexed_lookup_batch_200,28,1.613025
metadata,indexed_lookup_batch_200,29,1.604128
metadata,indexed_lookup_batch_200,30,1.601889
metadata,accession_filter,1,1.432924
metadata,accession_filter,2,1.291531
metadata,accession_filter,3,1.323992
metadata,accession_filter,4,1.344191
metadata,accession_filter,5,1.291373
metadata,accession_filter,6,1.347527
metadata,accession_filter,7,1.317421
metadata,accession_filter,8,3.347322
metadata,accession_filter,9,1.326446
metadata,accession_filter,10,1.354418
metadata,accession_filter,11,1.302175
metadata,accession_filter,12,1.330152
metadata,accession_filter,13,1.330827
metadata,accession_filter,14,1.300423
metadata,accession_filter,15,1.321055
metadata,accession_filter,16,1.334484
metadata,accession_filter,17,1.325307
metadata,accession_filter,18,1.289472
metadata,accession_filter,19,1.334195
metadata,accession_filter,20,1.312992
metadata,accession_filter,21,1.290196
metadata,accession_filter,22,1.349176
metadata,accession_filter,23,1.288658
metadata,accession_filter,24,1.28827
metadata,accession_filter,25,1.33654
metadata,accession_filter,26,1.30595
metadata,accession_filter,27,1.312957
metadata,accession_filter,28,1.311516
metadata,accession_filter,29,1.317849
metadata,accession_filter,30,1.313799
