variant,query,repetition,latency_ms
bioplastics_metadata,gc_range_count,20,4.995234
bioplastics_metadata,gc_range_count,21,4.995762
bioplastics_metadata,gc_range_count,22,5.098346
bioplastics_metadata,gc_range_count,23,5.022705
bioplastics_metadata,gc_range_count,24,6.630216
bioplastics_metadata,gc_range_count,25,8.337094
bioplastics_metadata,gc_range_count,26,5.144459
bioplastics_metadata,gc_range_count,27,5.117022
bioplastics_metadata,gc_range_count,28,4.988954
bioplastics_metadata,gc_range_count,29,5.003477
bioplastics_metadata,gc_range_count,30,5.003992
bioplastics_metadata,top_100_longest,1,0.094076
bioplastics_metadata,top_100_longest,2,0.134067
bioplastics_metadata,top_100_longest,3,0.113761
bioplastics_metadata,top_100_longest,4,0.095885
bioplastics_metadata,top_100_longest,5,0.096224
bioplastics_metadata,top_100_longest,6,0.098899
bioplastics_metadata,top_100_longest,7,0.096307
bioplastics_metadata,top_100_longest,8,0.096224
bioplastics_metadata,top_100_longest,9,0.095677
bioplastics_metadata,top_100_longest,10,0.097744
bioplastics_metadata,top_100_longest,11,0.097007
bioplastics_metadata,top_100_longest,12,0.096564
bioplastics_metadata,top_100_longest,13,0.122647
bioplastics_metadata,top_100_longest,14,0.096947
bioplastics_metadata,top_100_longest,15,0.097394
bioplastics_metadata,top_100_longest,16,0.096773
bioplastics_metadata,top_100_longest,17,0.096635
bioplastics_metadata,top_100_longest,18,0.097017
bioplastics_metadata,top_100_longest,19,0.096611
bioplastics_metadata,top_100_longest,20,0.097313
bioplastics_metadata,top_100_longest,21,0.097074
bioplastics_metadata,top_100_longest,22,0.097086
bioplastics_metadata,top_100_longest,23,0.112826
bioplastics_metadata,top_100_longest,24,0.097001
bioplastics_metadata,top_100_longest,25,0.096245
bioplastics_metadata,top_100_longest,26,0.097528
bioplastics_metadata,top_100_longest,27,0.097047
bioplastics_metadata,top_100_longest,28,0.096949
bioplastics_metadata,top_100_longest,29,0.096808
bioplastics_metadata,top_100_longest,30,0.097271
bioplastics_metadata,plastic_context_sequence_count,1,1.072158
bioplastics_metadata,plastic_context_sequence_count,2,1.061608
bioplastics_metadata,plastic_context_sequence_count,3,1.060428
bioplastics_metadata,plastic_context_sequence_count,4,3.152022
bioplastics_metadata,plastic_context_sequence_count,5,1.121979
bioplastics_metadata,plastic_context_sequence_count,6,1.060753
bioplastics_metadata,plastic_context_sequence_count,7,1.068006
bioplastics_metadata,plastic_context_sequence_count,8,1.015026
bioplastics_metadata,plastic_context_sequence_count,9,1.084695
bioplastics_metadata,plastic_context_sequence_count,10,1.028947
bioplastics_metadata,plastic_context_sequence_count,11,0.996343
bioplastics_metadata,plastic_context_sequence_count,12,0.996206
bioplastics_metadata,plastic_context_sequence_count,13,1.01982
bioplastics_metadata,plastic_context_sequence_count,14,1.003275
bioplastics_metadata,plastic_context_sequence_count,15,0.996813
bioplastics_metadata,plastic_context_sequence_count,16,1.020665
bioplastics_metadata,plastic_context_sequence_count,17,1.086303
bioplastics_metadata,plastic_context_sequence_count,18,1.060851
bioplastics_metadata,plastic_context_sequence_count,19,1.00526
bioplastics_metadata,plastic_context_sequence_count,20,1.034072
bioplastics_metadata,plastic_context_sequence_count,21,1.092251
bioplastics_metadata,plastic_context_sequence_count,22,1.102243
bioplastics_metadata,plastic_context_sequence_count,23,1.077525
bioplastics_metadata,plastic_context_sequence_count,24,1.088398
bioplastics_metadata,plastic_context_sequence_count,25,1.07594
bioplastics_metadata,plastic_context_sequence_count,26,1.061632
bioplastics_metadata,plastic_context_sequence_count,27,1.068525
bioplastics_metadata,plastic_context_sequence_count,28,1.085379
bioplastics_metadata,plastic_context_sequence_count,29,1.066875
bioplastics_metadata,plastic_context_sequence_count,30,1.06839
