Protein_ID,Localizations,Signals,Membrane types,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome,Peripheral,Transmembrane,Lipid anchor,Soluble
ERR9936833_584,Extracellular,Signal peptide,Soluble,0.1589999943971634,0.17949999868869781,0.6294999718666077,0.0828000009059906,0.07500000298023224,0.0940999984741211,0.032099999487400055,0.09109999984502792,0.11379999667406082,0.012500000186264515,0.39910000562667847,0.0746999979019165,0.30160000920295715,0.8058000206947327
ERR9936846_204,Extracellular,Signal peptide,Soluble,0.19619999825954437,0.2371000051498413,0.5648000240325928,0.06069999933242798,0.13210000097751617,0.0608999989926815,0.06949999928474426,0.1826999932527542,0.1347000002861023,0.017799999564886093,0.40610000491142273,0.07649999856948853,0.337799996137619,0.8044999837875366
ERR9963791_553102,Extracellular,Signal peptide,Soluble,0.16040000319480896,0.15790000557899475,0.7749000191688538,0.13920000195503235,0.16580000519752502,0.20810000598430634,0.024000000208616257,0.06989999860525131,0.10760000348091125,0.05050000175833702,0.42829999327659607,0.13840000331401825,0.22470000386238098,0.7688999772071838
MGYP000931547452A,Extracellular,Signal peptide,Soluble,0.16779999434947968,0.11100000143051147,0.7310000061988831,0.04969999939203262,0.30630001425743103,0.055799998342990875,0.049800001084804535,0.05820000171661377,0.06520000100135803,0.009999999776482582,0.38350000977516174,0.08070000261068344,0.26759999990463257,0.7868000268936157
P29600.1,Cytoplasm,Nuclear localization signal|Nuclear export signal,Soluble,0.67330002784729,0.3684000074863434,0.45750001072883606,0.23469999432563782,0.38749998807907104,0.21310000121593475,0.12200000137090683,0.1404000073671341,0.18289999663829803,0.0957999974489212,0.5206999778747559,0.06340000033378601,0.16140000522136688,0.8192999958992004
MGYP001010025864A,Cytoplasm,,Soluble,0.7922999858856201,0.42829999327659607,0.34360000491142273,0.10130000114440918,0.2248000055551529,0.04529999941587448,0.37380000948905945,0.19370000064373016,0.23389999568462372,0.1656000018119812,0.33550000190734863,0.0649000033736229,0.3127000033855438,0.7612000107765198
ERR11028298_3008807,Extracellular,Signal peptide,Soluble,0.20430000126361847,0.19269999861717224,0.6898000240325928,0.11940000206232071,0.0997999981045723,0.047600001096725464,0.04540000110864639,0.15639999508857727,0.13459999859333038,0.009999999776482582,0.3711000084877014,0.0885000005364418,0.27720001339912415,0.8192999958992004
MGYP001557180572A,Cytoplasm|Extracellular,Nuclear localization signal,Soluble,0.7239000201225281,0.3650999963283539,0.6424000263214111,0.41260001063346863,0.20069999992847443,0.0835999995470047,0.46369999647140503,0.21860000491142273,0.27459999918937683,0.019999999552965164,0.373199999332428,0.05779999867081642,0.19179999828338623,0.7799999713897705
MGYP002716753343A,Extracellular,Signal peptide,Soluble,0.22290000319480896,0.07999999821186066,0.8812999725341797,0.03909999877214432,0.5189999938011169,0.04560000076889992,0.0860000029206276,0.06379999965429306,0.08799999952316284,0.0003000000142492354,0.28610000014305115,0.10080000013113022,0.13590000569820404,0.770799994468689
MGYP003385382674A,Extracellular,Signal peptide,Soluble,0.31290000677108765,0.15399999916553497,0.7279999852180481,0.1518000066280365,0.06449999660253525,0.008700000122189522,0.2345000058412552,0.08640000224113464,0.09539999812841415,0.019500000402331352,0.45019999146461487,0.06350000202655792,0.22380000352859497,0.8203999996185303
ODU60407.1,Cytoplasm|Extracellular,Nuclear localization signal,Soluble,0.5234000086784363,0.3434000015258789,0.6764000058174133,0.15850000083446503,0.17299999296665192,0.019600000232458115,0.1559000015258789,0.3005000054836273,0.14470000565052032,0.004399999976158142,0.39469999074935913,0.06390000134706497,0.24320000410079956,0.810699999332428
A0A075B5G4,Extracellular,,Soluble,0.3547999858856201,0.19869999587535858,0.7200000286102295,0.3959999978542328,0.1354999989271164,0.010599999688565731,0.27070000767707825,0.12430000305175781,0.0860000029206276,0.08399999886751175,0.3684000074863434,0.040800001472234726,0.20800000429153442,0.8571000099182129
SRR10053376_3326,Extracellular,Signal peptide,Soluble,0.3082999885082245,0.14139999449253082,0.8343999981880188,0.07620000094175339,0.13500000536441803,0.014800000004470348,0.225600004196167,0.0868000015616417,0.241799995303154,0.0006000000284984708,0.4009000062942505,0.08649999648332596,0.22609999775886536,0.7718999981880188
SRR10276843_1765,Extracellular,Signal peptide,Soluble,0.20589999854564667,0.14100000262260437,0.7766000032424927,0.07880000025033951,0.31189998984336853,0.04230000078678131,0.13899999856948853,0.24490000307559967,0.17710000276565552,0.003000000026077032,0.26510000228881836,0.0494999997317791,0.22920000553131104,0.847100019454956
SRR10342238_19559,Extracellular,Signal peptide,Soluble,0.18479999899864197,0.2606000006198883,0.7764000296592712,0.08110000193119049,0.07999999821186066,0.18119999766349792,0.04580000042915344,0.10180000215768814,0.16210000216960907,0.022299999371170998,0.4034999907016754,0.08160000294446945,0.26159998774528503,0.815500020980835
SRR10408973_194281,Extracellular,Signal peptide,Soluble,0.13300000131130219,0.09520000219345093,0.8754000067710876,0.04390000179409981,0.3334999978542328,0.052299998700618744,0.09570000320672989,0.1428000032901764,0.057100001722574234,0.0013000000035390258,0.38690000772476196,0.05040000006556511,0.21770000457763672,0.8241999745368958
SRR10512140_136352,Extracellular,Signal peptide,Soluble,0.11699999868869781,0.1404999941587448,0.883400022983551,0.09009999781847,0.125900000333786,0.07410000264644623,0.06700000166893005,0.11509999632835388,0.16030000150203705,0.01810000091791153,0.44269999861717224,0.0786999985575676,0.24009999632835388,0.7998999953269958
Q0JYJ1,Cytoplasm,,Soluble,0.5094000101089478,0.3149000108242035,0.32739999890327454,0.10379999876022339,0.39419999718666077,0.15379999577999115,0.16099999845027924,0.33180001378059387,0.33550000190734863,0.19419999420642853,0.5648999810218811,0.1446000039577484,0.17520000040531158,0.7080000042915344
AGT96415.1,Endoplasmic reticulum,Signal peptide|Transmembrane domain,Peripheral,0.30140000581741333,0.25859999656677246,0.1964000016450882,0.24140000343322754,0.2556000053882599,0.048500001430511475,0.6496000289916992,0.5579000115394592,0.505299985408783,0.0038999998942017555,0.7605000138282776,0.492900013923645,0.1264999955892563,0.4065999984741211
SRR10663364_103688,Extracellular,Signal peptide,Soluble,0.12600000202655792,0.18729999661445618,0.5410000085830688,0.06040000170469284,0.07800000160932541,0.07509999722242355,0.05829999968409538,0.11420000344514847,0.14149999618530273,0.019999999552965164,0.4271000027656555,0.08110000193119049,0.3305000066757202,0.7918000221252441
SRR10663367_1316324,Cytoplasm,Nuclear localization signal,Soluble,0.708299994468689,0.3774999976158142,0.4814000129699707,0.35409998893737793,0.2517000138759613,0.019300000742077827,0.24449999630451202,0.46399998664855957,0.41179999709129333,0.00570000009611249,0.35839998722076416,0.07689999788999557,0.2624000012874603,0.7946000099182129
AGT90042.1,Cytoplasm,Nuclear localization signal,Soluble,0.8259999752044678,0.16519999504089355,0.21400000154972076,0.2125999927520752,0.13580000400543213,0.06159999966621399,0.18199999630451202,0.3140999972820282,0.1264999955892563,0.0649000033736229,0.5216000080108643,0.044599998742341995,0.18889999389648438,0.7781999707221985
P06873.2,Extracellular,Signal peptide,Soluble,0.14830000698566437,0.028200000524520874,0.8986999988555908,0.029200000688433647,0.0731000006198883,0.0032999999821186066,0.09880000352859497,0.1940000057220459,0.06679999828338623,0.0017000000225380063,0.28630000352859497,0.020899999886751175,0.24580000340938568,0.9085000157356262
SRR14039663_324879,Extracellular,Signal peptide,Soluble,0.1404000073671341,0.11800000071525574,0.828000009059906,0.03889999911189079,0.1485999971628189,0.01860000006854534,0.07410000264644623,0.13860000669956207,0.09440000355243683,0.00279999990016222,0.4327999949455261,0.06300000101327896,0.26989999413490295,0.7817999720573425
RLU00646.1,Extracellular,Signal peptide,Soluble,0.22499999403953552,0.1859000027179718,0.7731000185012817,0.08070000261068344,0.14630000293254852,0.03959999978542328,0.16110000014305115,0.2362000048160553,0.27709999680519104,0.005799999926239252,0.4214000105857849,0.045499999076128006,0.4269999861717224,0.8079000115394592
ERR11028393_217052,Extracellular,Signal peptide,Soluble,0.243599995970726,0.1459999978542328,0.847100019454956,0.02930000051856041,0.41370001435279846,0.024800000712275505,0.19020000100135803,0.16279999911785126,0.12880000472068787,0.0019000000320374966,0.38499999046325684,0.08049999922513962,0.3158000111579895,0.7888000011444092
SRR10663367_452477,Extracellular,Signal peptide,Soluble,0.2651999890804291,0.1371999979019165,0.8644999861717224,0.09679999947547913,0.09269999712705612,0.010999999940395355,0.06710000336170197,0.24570000171661377,0.15559999644756317,0.00139999995008111,0.4438000023365021,0.03799999877810478,0.30480000376701355,0.833299994468689
SRR10848474_194765,Extracellular,Signal peptide,Soluble,0.23960000276565552,0.09929999709129333,0.8840000033378601,0.06159999966621399,0.20110000669956207,0.04410000145435333,0.1729000061750412,0.0812000036239624,0.10350000113248825,0.00139999995008111,0.41429999470710754,0.09570000320672989,0.23899999260902405,0.7696999907493591
SRR10853130_13600-1,Extracellular,Signal peptide,Soluble,0.27730000019073486,0.17270000278949738,0.8791999816894531,0.08560000360012054,0.1850000023841858,0.027799999341368675,0.2021999955177307,0.27140000462532043,0.30230000615119934,0.0017999999690800905,0.4156000018119812,0.046799998730421066,0.40540000796318054,0.8065999746322632
SRR10853130_13600-2,Extracellular,Signal peptide,Soluble,0.1923999935388565,0.16599999368190765,0.875,0.06639999896287918,0.21789999306201935,0.015599999576807022,0.125900000333786,0.14169999957084656,0.16449999809265137,0.00139999995008111,0.4106000065803528,0.04390000179409981,0.38019999861717224,0.8184000253677368
SRR11005201_40376,Extracellular,Signal peptide,Soluble,0.1678999960422516,0.14030000567436218,0.840499997138977,0.08190000057220459,0.1298000067472458,0.0917000025510788,0.08659999817609787,0.12520000338554382,0.11969999969005585,0.02160000056028366,0.45680001378059387,0.059700001031160355,0.34459999203681946,0.7796000242233276
