organism,sra_run_count,sra_platforms,sra_strategies,sra_total_bases,sra_date_range
Porodaedalea pini,3,ILLUMINA; PACBIO_SMRT,AMPLICON; RNA-Seq; WGS,13460783345.0,2018-2022
Priestia aryabhattai,180,ILLUMINA,RNA-Seq; WGS,23719564364.0,2026-2026
Promicromonospora panici,0,,,,
Pleospora leptosphaerulinoides,0,,,,
Pleurostoma richardsiae,3,BGISEQ,RNA-Seq; WGS,17728567900.0,2023-2023
Pleurotus pulmonarius,125,ILLUMINA,RNA-Seq,33193069754.0,2025-2025
Podospora anserina,409,ILLUMINA; OXFORD_NANOPORE,Hi-C; WGS,45373283168.0,2025-2026
Pseudomonas rhodesiae,53,DNBSEQ; ILLUMINA; PACBIO_SMRT,WGS,6592917389.0,2025-2026
Pseudomonas amygdali,142,ILLUMINA,RNA-Seq; WGS,10469559594.0,2026-2026
Pseudomonas azotoformans,29,ILLUMINA,WGS,3624364142.0,2025-2025
Pseudomonas beteli,0,,,,
Propionispora sp.,0,,,,
Proteus vulgaris,237,ILLUMINA; OXFORD_NANOPORE,AMPLICON; WGS,2358015680.0,2026-2026
Pseudoalteromonas lipolytica,22,DNBSEQ; ILLUMINA; OXFORD_NANOPORE,WGS,10658924569.0,2025-2026
Polyporus arcularius,7,ILLUMINA; PACBIO_SMRT,AMPLICON; WGS,19119842582.0,2013-2026
Polyporus tuberaster,1,PACBIO_SMRT,AMPLICON,2358931.0,2022-2022
Cladosporium rectoides,1,PACBIO_SMRT,WGS,5908989044.0,2022-2022
Citrobacter freundii,4729,ILLUMINA,WGS,3694060686.0,2026-2026
Citrobacter sedlakii,58,ILLUMINA,WGS,2714036591.0,2025-2026
Cladosporium allicinum,1,OXFORD_NANOPORE,WGS,1658648579.0,2025-2025
Cladosporium antropophilum,0,,,,
Pestalotiopsis microspora,3,ILLUMINA; PACBIO_SMRT,AMPLICON; WGS,18551774781.0,2019-2024
Pestalotiopsis thailandica,0,,,,
Pseudomassariosphaeria bromicola,0,,,,
Catellatospora bangladeshensis,0,,,,
Catellatospora methionotrophica,0,,,,
Cellulomonas iranensis,18,ILLUMINA; PACBIO_SMRT,RNA-Seq; WGS,6194354518.0,2025-2026
Burkholderia aenigmatica,22,ILLUMINA,WGS,8054909558.0,2021-2023
Burkholderia ambifaria,151,ILLUMINA,AMPLICON; WGS,6222768284.0,2025-2026
Burkholderia gladioli,422,ILLUMINA,WGS,7433099700.0,2026-2026
Pseudomonas indica,1,ILLUMINA,WGS,1067733080.0,2016-2016
Rheinheimera sp.,18,ILLUMINA,AMPLICON,11568337.0,2026-2026
Chaetomium sp.,13,DNBSEQ; ILLUMINA,AMPLICON; OTHER,71534110.0,2025-2025
Chaetopsina pnagiana,0,,,,
Chitinimonas sp.,0,,,,
Caldimonas taiwanensis,0,,,,
Calonectria pseudonaviculata,94,ILLUMINA,RNA-Seq,181312413600.0,2026-2026
Candida antarctica,4,DNBSEQ; ILLUMINA; OXFORD_NANOPORE; PACBIO_SMRT,AMPLICON; WGA; WGS,16258760461.0,2023-2025
Candida rugosa,5,ILLUMINA; OXFORD_NANOPORE,WGS,19450241658.0,2020-2025
Candidatus bathyarchaeota,214,ILLUMINA,WGS,25840232283.0,2025-2025
Chloroidium saccharophilum,6,ILLUMINA,RNA-Seq,50565649400.0,2025-2025
Chrysebacterium nepalense,0,,,,
Chryseobacterium sp.,61,ILLUMINA,WGS,559002.0,2026-2026
Chryseomonas luteola,37,ILLUMINA; OXFORD_NANOPORE; PACBIO_SMRT,WGS,6732142239.0,2026-2026
Chrysonectria finisterensis,0,,,,
Chrysosporium sp.,1,DNBSEQ,AMPLICON,447.0,2025-2025
Citrobacter amalonaticus,322,ILLUMINA,WGS,6775597308.0,2026-2026
Ceriporiopsis gilvescens,0,,,,
Pseudomonas monteilii,126,ILLUMINA; OXFORD_NANOPORE,AMPLICON; WGS,3108070917.0,2025-2026
Pseudomonas multiresinivorans,2,ILLUMINA; PACBIO_SMRT,WGS,3125147847.0,2020-2022
Pseudomonas nitroreducens,62,ILLUMINA,WGS,2857934548.0,2025-2026
Pseudomonas capeferrum,19,ILLUMINA,WGS,6295502514.0,2026-2026
Pseudomonas fluvialis,2,ILLUMINA,WGS,3788056424.0,2020-2024
Bacillus thermoruber,5,CAPILLARY; ILLUMINA; PACBIO_SMRT,AMPLICON; WGS,7047764362.0,2016-2025
Bacillus thioparans,2,ILLUMINA,WGS,4219261743.0,2023-2025
Chitinophaga jiangningensis,1,ILLUMINA,WGS,996534164.0,2017-2017
Brucella tritici,1,OXFORD_NANOPORE,WGS,400228218.0,2019-2019
Bordetella petrii,5,ILLUMINA; PACBIO_SMRT,WGS,3297991941.0,2018-2023
Botryosphaeria dothidea,283,ILLUMINA,RNA-Seq,32996855335.0,2025-2025
Botrytis sp.,4,ILLUMINA; LS454,AMPLICON; OTHER,31261389.0,2021-2025
Bacteroides sp.,143,ILLUMINA,AMPLICON; WGS,398064534.0,2025-2026
Bdellovibrio bacteriovorus,129,ILLUMINA; PACBIO_SMRT,WGS,5922682248.0,2025-2025
Bifidobacterium infantis,0,,,,
Bacillus stearothermophilus,219,ILLUMINA; OXFORD_NANOPORE,AMPLICON; WGA; WGS,1223508662.0,2026-2026
Pseudonocardia sp.,12,ILLUMINA,AMPLICON,6524895.0,2024-2025
Bacillus altitudinis,313,ILLUMINA; PACBIO_SMRT,WGS,15914702420.0,2026-2026
Bacillus aquimaris,7,ILLUMINA,AMPLICON; WGS,15951864244.0,2022-2025
Brevibacillus reuszeri,6,ILLUMINA,WGS,11066631294.0,2017-2025
Brevibacterium sp.,14,ABI_SOLID; ILLUMINA,AMPLICON; RNA-Seq; WGS,3181299252.0,2024-2026
Brevundimonas diminuta,288,ILLUMINA,WGS,,2026-2026
Brevundimonas vesicularis,44,ILLUMINA; OXFORD_NANOPORE,RNA-Seq; WGS,17425021226.0,2026-2026
Brucella cytisi,6,ILLUMINA; OXFORD_NANOPORE,WGS,4754843533.0,2019-2025
Pseudozyma sp.,0,,,,
Psychrobacillus sp.,1,ILLUMINA,WGS,471573.0,2026-2026
Psychrobacter cryohalolentis,8,CAPILLARY; ILLUMINA,WGA; WGS,163386640.0,2020-2020
Purpureocillium sp.,40,ILLUMINA,OTHER,8969.0,2025-2025
Pyrenochaetopsis microspora,0,,,,
Pseudomonas vesicularis,44,ILLUMINA; OXFORD_NANOPORE,RNA-Seq; WGS,17425021226.0,2026-2026
Pseudonectria foliicola,0,,,,
Pseudonocardia alni,5,ILLUMINA; PACBIO_SMRT,WGS,9206828790.0,2016-2026
Rhizobium viscosum,2,ILLUMINA; PACBIO_SMRT,WGS,2113763152.0,2019-2020
Rhizocola hellebori,0,,,,
Rhizomucor miehei,5,ABI_SOLID; ILLUMINA,RNA-Seq; WGS,16656441510.0,2013-2020
Pyrenochaetopsis paucisetosa,0,,,,
Pyrenochaetopsis sp.,0,,,,
Rahnella aquatilis,25,ILLUMINA; OXFORD_NANOPORE,CLONE; OTHER; WGS,8452501218.0,2025-2026
Ralstonia eutropha,425,ILLUMINA; OXFORD_NANOPORE,RNA-Seq; WGS,48089825935.0,2026-2026
Rasamsonia argillacea,0,,,,
Aspergillus calidoustus,23,ABI_SOLID; ILLUMINA,AMPLICON; RNA-Seq; WGS,32009803546.0,2022-2026
Bacillus safensis,298,CAPILLARY; DNBSEQ; ILLUMINA; OXFORD_NANOPORE,RNA-Seq; WGS,3430471713.0,2026-2026
Bacillus smithii,20,ILLUMINA,WGS,3697401900.0,2025-2025
Bacillus sphericus,0,,,,
Bacillus idriensis,5,ILLUMINA,WGS,4341193912.0,2019-2025
Bacillus infantis,20,ILLUMINA; PACBIO_SMRT,WGS,10264679560.0,2025-2025
Bacillus mycoides,267,ILLUMINA,WGS,1514100957.0,2026-2026
Bacillus niacini,26,ILLUMINA,WGS,839409.0,2026-2026
Saccharothrix coeruleofusca,2,PACBIO_SMRT,WGS,9810902411.0,2022-2025
Saccharothrix cryophilis,1,PACBIO_SMRT,WGS,2778372388.0,2020-2020
Rhodococcus sovatensis,1,OXFORD_NANOPORE,WGS,1217819872.0,2024-2024
Rhodoferax fermentans,1,ILLUMINA,WGS,891282327.0,2021-2021
Rhodotorula sphaerocarpa,13,ILLUMINA; PACBIO_SMRT,WGS,26271084430.0,2025-2026
Rhizopus oligosporus,9,ILLUMINA; OXFORD_NANOPORE,WGS,32272474668.0,2019-2026
Rhodococcus equi,174,ILLUMINA,WGS,2940966467.0,2026-2026
Aspergillus brasiliensis,13,ILLUMINA,WGS,31887365600.0,2016-2022
Saccharothrix mutabilis,0,,,,
Saccharothrix sp.,2,ILLUMINA,WGS,2838128700.0,2024-2024
Saccharothrix syringae,0,,,,
Saccharothrix texasensis,2,PACBIO_SMRT,WGS,1249451809.0,2018-2018
Roussoella scabrispora,0,,,,
Saccharopolyspora flava,1,ILLUMINA,WGS,1154035200.0,2016-2016
Saccharopolyspora hirsuta,10,ILLUMINA,RNA-Seq,13667532580.0,2022-2022
Saccharothrix australiensis,3,ILLUMINA; PACBIO_SMRT,WGS,1709629162.0,2018-2019
Bacillus stratosphericus,12,ILLUMINA; OXFORD_NANOPORE,RNA-Seq; WGS,9665460165.0,2023-2023
Bacillus subterraneus,6,ABI_SOLID; ILLUMINA,AMPLICON; WGS,1880844287.0,2022-2025
Bacillus thermoamylovorans,11,ILLUMINA,WGS,4968794400.0,2024-2025
Pseudophaeosphaeria rubi,0,,,,
Pseudoxanthomonas sp.,40,ILLUMINA,WGS,5311618200.0,2024-2024
Saccharothrix deserti,1,ILLUMINA,AMPLICON,1446569700.0,2019-2019
Saccharothrix espanaensis,1,ILLUMINA,WGS,1518901200.0,2016-2016
Saccharothrix longispora,2,PACBIO_SMRT,WGS,7079649641.0,2023-2025
Serratia rubidaea,48,ILLUMINA; OXFORD_NANOPORE; PACBIO_SMRT,WGS,4812418810.0,2023-2026
Salmonella sp.,1280,ILLUMINA,WGS,1541558516.0,2026-2026
Samsoniella hepiali,23,ILLUMINA,RNA-Seq,44644512020.0,2024-2024
Sarocladium kiliense,39,ILLUMINA; OXFORD_NANOPORE,AMPLICON; WGS,175118533.0,2018-2026
Amauroderma calcigenum,0,,,,
Amauroderma sp.,0,,,,
Aspergillus tritici,6,DNBSEQ; ILLUMINA,AMPLICON; RNA-Seq; WGS,9697796317.0,2019-2025
Aspergillus udagawae,7,ILLUMINA,RNA-Seq; WGS,47324994464.0,2021-2025
Sphaerisporangium fuscum,0,,,,
Sphaeropsis sapinea,38,ILLUMINA; OXFORD_NANOPORE,WGS,10493250508.0,2025-2025
Sclerostagonospora lathyri,0,,,,
Sclerotinia sclerotiorum,925,ILLUMINA,RNA-Seq,32372221500.0,2026-2026
Sedecimiella taiwanensis,0,,,,
Septoria eucalyptorum,0,,,,
Septoria sp.,0,,,,
Septoriella sp.,0,,,,
Sphingobacterium multivorum,40,ILLUMINA; OXFORD_NANOPORE,AMPLICON; WGS,3393151251.0,2024-2025
Sphingomonas macrogoltabidus,2,ILLUMINA,WGS,2924573134.0,2025-2025
Stagonosporopsis citrulli,0,,,,
Stagonosporopsis dorenboschii,4,ILLUMINA,WGS,7917451000.0,2021-2021
Staphylococcus cohnii,219,ILLUMINA,WGS,5967863978.0,2026-2026
Shewanella putrefaciens,107,ILLUMINA; PACBIO_SMRT,RNA-Seq; WGA,27913020119.0,2026-2026
Sistotrema brinkmannii,8,DNBSEQ; PACBIO_SMRT,AMPLICON,9858551.0,2023-2025
Solwaraspora sp.,0,,,,
Bacillus pakistanensis,1,ILLUMINA,WGS,586879318.0,2022-2022
Bacillus paramycoides,43,CAPILLARY; ILLUMINA,AMPLICON; WGS,553483239.0,2025-2026
Bacillus atrophaeus,214,DNBSEQ; ILLUMINA; PACBIO_SMRT,WGS,12263496796.0,2025-2025
Bacillus brevis,28,ILLUMINA,WGS,769478612.0,2025-2026
Bacillus firmus,47,ILLUMINA,AMPLICON; WGS,4276096505.0,2025-2026
Bacillus hwajinpoensis,6,ILLUMINA; OXFORD_NANOPORE,WGA; WGS,8100824850.0,2022-2025
Aureobasidium melanogenum,144,ILLUMINA,RNA-Seq,34770840300.0,2026-2026
Aureobasidium namibiae,25,CAPILLARY; DNBSEQ; ILLUMINA; OXFORD_NANOPORE,AMPLICON; WGS,696616020.0,2022-2025
Aquabacterium parvum,0,,,,
Aquabacterium sp.,19,ILLUMINA,AMPLICON; WGS,3460240174.0,2024-2025
Arthrinium sp.,0,,,,
Amycolatopsis thailandensis,0,,,,
Amylosporus sp.,0,,,,
Amphora sp.,0,,,,
Alternaria solani,71,ELEMENT; OXFORD_NANOPORE; PACBIO_SMRT,WGS,28330146379.0,2026-2026
Alternaria tenuissima,31,CAPILLARY; ILLUMINA,AMPLICON; RNA-Seq; WGS,22402409802.0,2026-2026
Staphylococcus xylosus,480,ILLUMINA; OXFORD_NANOPORE,WGA; WGS,1606466939.0,2026-2026
Staphylocuccus aureus,0,,,,
Stemphylium lucomagnoense,0,,,,
Stemphylium lycopersici,11,ILLUMINA,RNA-Seq,31443145934.0,2020-2026
Aestuariibacter halophilus,2,ILLUMINA,AMPLICON; WGS,1609569603.0,2021-2026
Anoxybacillus sp.,0,,,,
Apiospora marii,0,,,,
Apiospora rasikravindrae,7,ILLUMINA,RNA-Seq,36440372400.0,2024-2024
Streptoalloteichus hindustanus,2,ILLUMINA,WGS,1280863842.0,2017-2019
Streptococcus equi,4303,ILLUMINA; OXFORD_NANOPORE,AMPLICON; WGS,1607608052.0,2026-2026
Streptococcus mitior,0,,,,
Streptomyces albogriseolus,27,ILLUMINA; OXFORD_NANOPORE,WGS,9334473489.0,2025-2025
Streptomyces albovinaceus,0,,,,
Stenotrophomonas rhizophila,229,ILLUMINA,WGS,17052757.0,2026-2026
Stereum sp.,3,ILLUMINA,AMPLICON; WGS,8049795605.0,2021-2026
Sterigmatomyces halophilus,1,DNBSEQ,AMPLICON,447.0,2025-2025
Aspergillus nomiae,4,ILLUMINA; ION_TORRENT,RNA-Seq; WGS,26061203705.0,2015-2023
Aspergillus ochraceus,9,ABI_SOLID; DNBSEQ; ILLUMINA,AMPLICON; RNA-Seq; WGS,58049123003.0,2024-2025
Aspergillus penicillioides,30,DNBSEQ; ILLUMINA,AMPLICON,250966975.0,2025-2025
Aspergillus japonicus,4,DNBSEQ; ILLUMINA; LS454,AMPLICON; RNA-Seq; WGS,16093846120.0,2016-2025
Aspergillus keveii,3,ILLUMINA,RNA-Seq; WGS,14372613068.0,2019-2019
Arthrographis kalrae,3,ILLUMINA,WGS,3209661831.0,2023-2023
Asanoa hainanensis,1,ILLUMINA,WGS,936096414.0,2016-2016
Streptomyces bangladeshensis,0,,,,
Verrucosispora sp.,0,,,,
Verticillium dahliae,1155,ILLUMINA,RNA-Seq,39083989870.0,2026-2026
Trichothecium sp.,1,ILLUMINA,OTHER,1095.0,2025-2025
Tritirachium album,2,ILLUMINA,WGS,8343838809.0,2025-2026
Ulocladium sp.,1,LS454,AMPLICON,521.0,2021-2021
Acidovorax facilis,6,OXFORD_NANOPORE; PACBIO_SMRT,WGS,2091361284.0,2025-2026
Acidovorax soli,8,ILLUMINA,WGS,8584645800.0,2024-2024
Trametes polyzona,11,ILLUMINA; PACBIO_SMRT,RNA-Seq; WGS,26822748822.0,2018-2024
Vibrio coralliilyticus,73,OXFORD_NANOPORE,WGS,4388892546.0,2026-2026
Vibrio furnisii,52,ILLUMINA,WGS,2256837732.0,2025-2026
Vibrio proteolyticus,0,,,,
Vibrio sp.,204,ILLUMINA; OXFORD_NANOPORE,WGS,4101281774.0,2025-2026
Virgibacillus halodenitrificans,8,DNBSEQ; ILLUMINA; OXFORD_NANOPORE,WGS,8370364234.0,2019-2024
Westerdykella dispersa,0,,,,
Vagicola chlamydospora,0,,,,
Verrucosispora sioxanthis,4,ILLUMINA; ION_TORRENT; OXFORD_NANOPORE,WGS,911676304.0,2020-2021
Actinomycetota bacterium,2012,ILLUMINA,WGS,57229321779.0,2025-2026
Actinoplanes sp. DH11,0,,,,
Streptomyces polychromogenes,0,,,,
Xerula longipes,0,,,,
Xylaria adscendens,0,,,,
Xylaria comosoides,0,,,,
Xylaria telfairii,2,ILLUMINA,RNA-Seq; WGS,41177555946.0,2020-2020
Achromobacter denitrificans,43,ILLUMINA,WGS,3683020739.0,2024-2025
Alicycliphilus sp.,1,OXFORD_NANOPORE,WGS,383084027.0,2025-2025
Aliiglaciecola lipolytica,0,,,,
Agaricus subrufescens,15,ILLUMINA; OXFORD_NANOPORE,RNA-Seq; WGS,35091131464.0,2020-2023
Agaricus xanthodermus,2,ILLUMINA,WGS,8939086200.0,2026-2026
Agrocybe aegerita,32,BGISEQ; ILLUMINA,RNA-Seq; WGS,30882924300.0,2023-2025
Agrocybe dura,1,ILLUMINA,AMPLICON,1398.0,2025-2025
Agrocybe praecox,19,ILLUMINA; PACBIO_SMRT,Hi-C; RNA-Seq; WGS,172357217112.0,2023-2025
Agrocybe sp.,1,ILLUMINA,AMPLICON,42691915.0,2021-2021
Ketobacter alkanivorans,0,,,,
Kibdelosporangium banguiense,2,PACBIO_SMRT,WGS,7374100321.0,2022-2025
Kineococcus sp.,0,,,,
Kitasatospora phosalacinea,1,ILLUMINA,WGS,499967342.0,2019-2019
Klebsiella grimontii,569,ILLUMINA; OXFORD_NANOPORE,WGS,2895947057.0,2026-2026
Klebsiella pneumonia,151076,ILLUMINA,WGS,3237340305.0,2026-2026
Hypoxylon fendleri,0,,,,
Inonotus circinatus,0,,,,
Acremonium flavum,0,,,,
Actinokineospora alba,4,ILLUMINA; PACBIO_SMRT,WGS,2628818561.0,2016-2018
Acinetobacter gerneri,9,ILLUMINA,RNA-Seq; WGS,4076282799.0,2022-2024
Acinetobacter johnsonii,270,ILLUMINA; OXFORD_NANOPORE,WGS,4852259346.0,2026-2026
Acinetobacter oleivorans,66,ILLUMINA,WGS,16595871512.0,2024-2026
Achromobacter sp.,39,ILLUMINA,WGS,2110527.0,2026-2026
Geobacillus thermoleovorans,33,ILLUMINA; OXFORD_NANOPORE,RNA-Seq; WGS,17285393910.0,2026-2026
Geomyces pannorum,1,ILLUMINA,WGS,18459215532.0,2016-2016
Thermoactinomyces vulgaris,6,ILLUMINA; PACBIO_SMRT,WGS,4461719518.0,2019-2022
Undibacterium pigrum,1,ILLUMINA,WGS,1442066912.0,2018-2018
Actinokineospora xionganensis,1,ILLUMINA,WGS,1487943581.0,2021-2021
Actinomadura atramentaria,2,ILLUMINA,WGS,5584176366.0,2013-2019
Actinomadura physcomitrii,0,,,,
Actinomadura rayongensis,1,ILLUMINA,WGS,6266232026.0,2020-2020
Acinetobacter seifertii,98,ILLUMINA,RNA-Seq; WGS,14886414441.0,2026-2026
Acinetobacter ursingii,191,ILLUMINA,WGS,5514947239.0,2025-2026
Trametes sp.,6,ILLUMINA,AMPLICON; OTHER,213910182.0,2021-2025
Trichaptum biforme,6,ILLUMINA; PACBIO_SMRT,AMPLICON; WGS,29513002656.0,2024-2026
Trichaptum byssogenum,0,,,,
Thermoleophilaceae bacterium,0,,,,
Thermomyces dupontii,30,ILLUMINA,RNA-Seq,30731578580.0,2025-2025
Thalassospira xiamenensis,23,ILLUMINA,WGS,4687366342.0,2021-2025
Thelonectria veuillotiana,0,,,,
Thelypteris sp.,0,,,,
