organism,sra_run_count,sra_platforms,sra_strategies,sra_total_bases,sra_date_range
Stenotrophomonas maltophilia,5816,ILLUMINA,WGS,12777765.0,2026-2026
Meyerozyma guilliermondii,144,ILLUMINA,RNA-Seq; WGS,29733650042.0,2025-2026
Leptothrix sp.,0,,,,
Fusarium culmorum,182,DNBSEQ,RNA-Seq,37859380474.0,2025-2025
Acidovorax sp.,65,ILLUMINA,WGS,14562626.0,2026-2026
Trichoderma sp.,67,ILLUMINA,OTHER,8975.0,2025-2025
Staphylococcus sp.,406,ILLUMINA; OXFORD_NANOPORE,AMPLICON; WGS,15088868083.0,2026-2026
Streptomyces omiyaensis,1,ILLUMINA,WGS,796200988.0,2018-2018
Pleurotus ostreatus,544,ILLUMINA,RNA-Seq,31984026900.0,2026-2026
Cladosporium cladosporioides,48,OXFORD_NANOPORE,AMPLICON,9009731.0,2026-2026
Papiliotrema laurentii,37,ILLUMINA,RNA-Seq,34260791700.0,2024-2024
Paracoccus denitrificans,221,ILLUMINA,RNA-Seq,22253523836.0,2026-2026
Burkholderia sp.,17,ILLUMINA; PACBIO_SMRT,WGA; WGS,10918233241.0,2024-2025
Chaetomium globosum,59,BGISEQ; ILLUMINA,RNA-Seq; WGS,31252036918.0,2025-2026
Agromyces sp.,125,ILLUMINA,WGS,2643592731.0,2024-2026
Alternaria alternata,732,ILLUMINA,AMPLICON; RNA-Seq,28206712169.0,2026-2026
Pseudomonas aestusnigri,4,ILLUMINA; OXFORD_NANOPORE,WGS,3942208611.0,2016-2022
Bacillus thuringiensis,2369,ILLUMINA,WGS,867495.0,2026-2026
Delftia acidovorans,119,ILLUMINA; OXFORD_NANOPORE,WGS,7199527373.0,2025-2026
Halomonas aquamarina,44,DNBSEQ; ILLUMINA,WGA; WGS,569229796.0,2025-2025
Amycolatopsis azurea,1,ILLUMINA,WGS,2239263728.0,2013-2013
Heterobasidion annosum,59,DNBSEQ; ILLUMINA,AMPLICON; RNA-Seq,79226130391.0,2023-2025
Humicola insolens,1,DNBSEQ,AMPLICON,309.0,2025-2025
Amycolatopsis mediterranei,10,ILLUMINA,RNA-Seq; WGS,11436578793.0,2021-2024
Pseudomonas frederiksbergensis,81,ILLUMINA,WGS,18672635.0,2026-2026
Diaporthe sp.,2,ILLUMINA,AMPLICON,16312996.0,2021-2021
Pseudomonas protegens,652,ILLUMINA,Tn-Seq,28551611218.0,2026-2026
Paraphoma chrysanthemicola,12,ILLUMINA; PACBIO_SMRT,RNA-Seq; WGS,17227986031.0,2021-2023
Bacillus aryabhattai,180,ILLUMINA,RNA-Seq; WGS,23719564364.0,2026-2026
Pseudomonas lemoignei,2,ILLUMINA; PACBIO_SMRT,WGS,4726917948.0,2016-2019
Aneurinibacillus aneurinilyticus,14,ILLUMINA,WGA; WGS,6186683699.0,2024-2026
Hypoxylon sp.,13,ILLUMINA,OTHER,3676.0,2025-2025
Acinetobacter baumannii,57060,ILLUMINA,WGS,1958395857.0,2026-2026
Clostridium botulinum,1716,ILLUMINA; OXFORD_NANOPORE,WGS,1455286347.0,2026-2026
Pseudomonas oryzihabitans,150,ILLUMINA,WGS,40223880803.0,2026-2026
Acinetobacter calcoaceticus,222,ILLUMINA,WGS,4152338638.0,2026-2026
Duganella zoogloeoides,5,ILLUMINA; OXFORD_NANOPORE,AMPLICON; OTHER; WGS,3944740993.0,2013-2026
Amycolatopsis alba,0,,,,
Parengyodontium album,2,ILLUMINA,WGS,8343838809.0,2025-2026
Phoma aliena,0,,,,
Shewanella sp.,21,DNBSEQ; ILLUMINA,AMPLICON; WGA; WGS; ssRNA-seq,2113818905.0,2025-2026
Streptomyces beijiangensis,0,,,,
Schlegelella sp.,2,ILLUMINA,WGS,3270194400.0,2024-2024
Streptomyces atratus,30,ILLUMINA,RNA-Seq,43681218300.0,2024-2024
Fusarium graminearum,3658,ILLUMINA,RNA-Seq,33880889925.0,2026-2026
Sphingomonas sp.,413,ILLUMINA,WGS,1127064.0,2026-2026
Bacillus gottheilii,5,ILLUMINA; OXFORD_NANOPORE; PACBIO_SMRT,WGS,3206760456.0,2021-2025
Amycolatopsis fastidiosa,1,ILLUMINA,WGS,367156802.0,2019-2019
Fomitiporia sp.,2,ILLUMINA,AMPLICON,68207165.0,2021-2021
Exiguobacterium profundum,6,ILLUMINA; OXFORD_NANOPORE,RNA-Seq; WGS,10796410583.0,2021-2025
Bacillus flexus,32,BGISEQ; ILLUMINA,WGS,9040895796.0,2025-2026
Verticillium sp.,22,ILLUMINA,OTHER,8358.0,2025-2025
Aspergillus awamori,4,ILLUMINA; PACBIO_SMRT,OTHER; WGS,20651666639.0,2016-2023
Thermobifida alba,0,,,,
Streptomyces pulveraceus,0,,,,
Xanthomonas sp.,13,ABI_SOLID; ILLUMINA,AMPLICON; WGS,3909276702.0,2022-2024
Halomonas sp.,86,ILLUMINA,RNA-Seq,14779229700.0,2026-2026
Micrococcus luteus,563,CAPILLARY; ILLUMINA; OXFORD_NANOPORE,AMPLICON; RNA-Seq; WGS,43522905554.0,2026-2026
Bjerkandera adusta,36,DNBSEQ; ILLUMINA,AMPLICON; RNA-Seq; WGS,23513830647.0,2025-2026
Serratia sp.,0,,,,
Microbulbifer sp.,0,,,,
Neodevriesia sp.,1,DNBSEQ,AMPLICON,447.0,2025-2025
Geobacillus thermocatenulatus,1,ILLUMINA,WGS,899858700.0,2025-2025
Xylaria feejeensis,0,,,,
Laceyella sp.,0,,,,
Lysinibacillus fusiformis,94,ILLUMINA; OXFORD_NANOPORE; PACBIO_SMRT,RNA-Seq; WGA; WGS,8018116206.0,2026-2026
Gordonia sp.,0,,,,
Gibberella sp.,213,DNBSEQ; ILLUMINA,AMPLICON; OTHER; WGS,16218840671.0,2025-2026
Aspergillus glaucus,21,ILLUMINA,RNA-Seq; WGS,31942499465.0,2012-2025
Fusarium pseudensiforme,3,ILLUMINA,RNA-Seq; WGS,8906173884.0,2026-2026
Diaphorobacter sp.,2,ILLUMINA,WGS,12098138100.0,2021-2024
Strain IZU-154,0,,,,
Saccharothrix waywayandensis,1,ILLUMINA,WGS,867378730.0,2016-2016
Rhodopseudomonas palustris,519,ILLUMINA,RNA-Seq,5907245100.0,2026-2026
Bacillus vietnamensis,8,ILLUMINA,WGS,13831865206.0,2025-2025
Brevibacillus parabrevis,15,ILLUMINA,WGS,12784035300.0,2025-2025
Brevibacillus borstelensis,22,ILLUMINA; OXFORD_NANOPORE,WGS,9786321680.0,2025-2026
Mucor sp.,5,ILLUMINA; LS454,AMPLICON; OTHER,83289609.0,2021-2025
Micrococcus sp.,63,ILLUMINA; OXFORD_NANOPORE,AMPLICON; WGS,2643683907.0,2017-2026
Micromonosporales bacterium,0,,,,
Micromonospora matsumotoense,4,ILLUMINA,WGS,8305450584.0,2016-2024
Nigrospora oryzae,17,ILLUMINA,RNA-Seq,36284648100.0,2026-2026
Fomitopsis palustris,1,ILLUMINA,WGS,2089492200.0,2024-2024
Moniliophthora roreri,64,ILLUMINA; PACBIO_SMRT,RNA-Seq; WGS,132805064942.0,2023-2023
Aspergillus sydowii,55,BGISEQ; DNBSEQ; ILLUMINA,AMPLICON; RNA-Seq; WGS,21063976052.0,2023-2025
Aspergillus ustus,13,DNBSEQ; ILLUMINA; OXFORD_NANOPORE; PACBIO_SMRT,AMPLICON; WGS,46674836751.0,2025-2026
Fusarium decemcellulare,2,ILLUMINA; ION_TORRENT,WGS,6102716273.0,2022-2026
Flavodon ambrosius,0,,,,
Aspergillus tubingensis,143,ABI_SOLID; DNBSEQ,AMPLICON,2558.0,2025-2025
Rhodococcus rhodochrous,37,ILLUMINA,RNA-Seq; WGS,60864574786.0,2024-2025
Alteromonas sp.,34,ILLUMINA; OXFORD_NANOPORE,AMPLICON; WGS,2979806077.0,2026-2026
Aspergillus versicolor,17,ABI_SOLID; ILLUMINA,AMPLICON; RNA-Seq,28269704450.0,2023-2024
Arcopilus aureus,6,DNBSEQ; OXFORD_NANOPORE; PACBIO_SMRT,Hi-C; RNA-Seq; WGS,48252700525.0,2023-2026
