organism,pubmed_plastic_count,pubmed_total_count
Remotididymella sp.,1.0,1.0
Psychrobacter sp.,102.0,160.0
Rhizopus delemar,95.0,155.0
Rhizopus nigricans,124.0,214.0
Rhizobacter gummiphilus,8.0,9.0
Cephalosporium sp.,20.0,44.0
Chaetomium murorum,0.0,3.0
Pseudomonas oceani,0.0,3.0
Pseudomonas pelagia,4.0,10.0
Azospirillum brasilense,737.0,1068.0
Azotobacter vinelandii,2016.0,2341.0
Bacillus sp. SB14,0.0,0.0
Bacillus megaterium,2771.0,4334.0
Aspergillus clavatus,130.0,240.0
Bacillus pseudomycoides,35.0,69.0
Rhodotorula sp.,61.0,148.0
Rhodococcus erythropolis,742.0,895.0
Rhodospirillum rubrum,1698.0,
Bacillus vallismortis,37.0,73.0
Bacillus velezensis,775.0,1615.0
Engyodontium album,12.0,34.0
Mortierella sp.,31.0,66.0
Neonectria sp.,2.0,9.0
Nigrofomes melanoporus,,2.0
Microbispora sp.,16.0,27.0
Micromonosporaceae bacterium,1059.0,1727.0
Marinactinospora thermotolerans,14.0,20.0
Exophilia sp.,1.0,1.0
Flavobacterium sp.,275.0,400.0
Fusarium redolens,16.0,47.0
Aspergillus foetidus,67.0,89.0
Aspergillus giganteus,77.0,111.0
Asteromyces cruciatus,4.0,11.0
Aspergillus nidulans,4182.0,5677.0
Sarcina aurantiaca,1.0,4.0
Sarocladium strictum,16.0,26.0
Staphylococcus epidermidis,5556.0,16616.0
Sinomonas sp.,3.0,5.0
Rhodococcus opacus,260.0,305.0
Stachybotrys chartarum,179.0,338.0
Arthrinium sacchari,2.0,8.0
Amycolatopsis rugosa,0.0,1.0
Amycolatopsis sulphurea,11.0,
Aequorivita viscosa,0.0,3.0
Aequorivita vladivostokensis,0.0,1.0
Steroidobacter cummioxidans,6.0,8.0
Stenotrophomonas panacihumi,,3.0
Stenotrophomonas pavanii,23.0,40.0
Streptomyces ciscaucasicus,1.0,5.0
Streptomyces cyaneogriseus,9.0,11.0
Streptomyces ascomycinicus,2.0,3.0
Streptomyces avidinii,37,57.0
Streptomyces badius,13,
Arthrobacter oryzae,4,7.0
Fulvifomes sp.,0,2.0
Fusarium moniliforme,454,829.0
Matsuebacter chitosanotabidus,4,
Memnoniella echinata,9,13.0
Lysinibacillus sp.,99,160.0
Lysinibacillus xylanilyticus,25,
Microbacterium flavum,2,6.0
Laceyella sacchari,24,30.0
Lederbergia lenta,61,
Klebsiella pneumoniae,15192,40583.0
Laetisaria arvalis,4,9.0
Lecanicillium araneicola,0,1.0
Gracilibacillus sp.,3,7.0
Gloeophyllum trabeum,112,153.0
Thelebolus globosus,1,2.0
Trichaptum abietinum,10,20.0
Actinomycetes bacterium,1,3.0
Vibrio parahaemolyticus,2671,5939.0
Vibrio gazogenes,8,16.0
Thermobifida halotolerans,11,14.0
Trichoderma viride,594,
Tropicoporus linteus,14,30.0
Absidia sp.,10.0,24.0
Vibrio alginolyticus,1184.0,
Verticillium leptobactrum,3.0,4.0
Yokenella regensburgei,9.0,
Abortiporus biennis,23.0,26.0
Acetobacterium sp.,15.0,22.0
Trichoderma fomiticola,,1.0
Trichoderma hamatum,49.0,94.0
Trichoderma lixii,14.0,28.0
Trichoderma virens,181.0,280.0
Trichothecium roseum,78.0,162.0
Thermopolyspora flexuosa,6.0,
Thyrostroma jaczewskii,2.0,2.0
Thermobacillus composti,5.0,
Aliishimia ponticola,0.0,1.0
Alkalihalobacillus algicola,1.0,1.0
Alkalihalobacillus hwajinpoensis,7.0,
Alternaria Solani,224.0,582.0
Alternaria brassicae,66.0,155.0
Alternaria chlamydospora,3.0,14.0
Albosynnema elegans,0.0,
Streptomyces swartbergensis,1.0,1.0
Streptomyces thermocarboxydovorans,1.0,2.0
Streptomyces thermogriseus,0.0,3.0
Streptomyces thermonitrificans,9.0,12.0
Streptomyces thermoviolaceus,,49.0
Streptomyces hypolithicus,0.0,2.0
Streptomyces lydicus,55.0,75.0
Thermoanaerobacter sp.,43.0,62.0
Terracoccus luteus,1.0,3.0
Terribacillus saccharophilus,5.0,9.0
Streptomyces thermovulgaris,18.0,22.0
Streptomyces werraensis,8.0,14.0
Streptomyces sp.,,4601.0
Talaromyces islandicus,13.0,22.0
Talaromyces minioluteus,7.0,14.0
Streptomyces rochei,108.0,
Alteromonas oceani,1.0,5.0
Stemphylium vesicarium,10.0,59.0
Stenotrophomonas geniculata,11.0,17.0
Stenotrophomonas humi,3.0,
Talaromyces pinophilus,52.0,76.0
Talaromyces rugulosus,5.0,13.0
Talaromyces variabilis,,7.0
Terrabacter tumescens,5.0,15.0
Grammothele fuligo,0.0,
Gymnopilus junonius,5.0,10.0
Geonectria subalpina,0.0,0.0
Geotrichum candidum,359.0,765.0
Gibellulopsis nigrescens,4.0,10.0
Gliocladium roseum,,62.0
