organism,genus,n_plastics,plastics_degraded,breadth_score,rarity_score,recency_score,evidence_gap_score,novelty_potential,last_year,has_sequence,has_enzyme
Ureibacillus massiliensis,Ureibacillus,2,"['LDPE', 'PS']",9.09,99.21,80.0,0,43.53,2021.0,False,True
Phlebiopsis flavidoalba,Phlebiopsis,1,['LDPE'],4.55,96.45,90.0,0,43.48,2023.0,False,True
Phlebiopsis sp.,Phlebiopsis,1,['LDPE'],4.55,96.45,90.0,0,43.48,2023.0,False,True
Clostridium sp.,Clostridium,1,['PU'],4.55,96.45,90.0,0,43.48,2023.0,False,False
Prerenniporia tephropora,Prerenniporia,1,['LDPE'],4.55,96.45,90.0,0,43.48,2023.0,False,True
Thermomyces lanuginosus,Thermomyces,2,"['LDPE', 'PU']",9.09,98.82,80.0,0,43.43,2021.0,False,True
Achromobacter denitrificans,Achromobacter,1,['PP'],4.55,96.06,90.0,0,43.38,2023.0,False,False
Vibrio coralliilyticus,Vibrio,1,['PCL'],4.55,96.06,90.0,0,43.38,2023.0,False,False
Nothophoma quercina,Nothophoma,1,['PCL'],4.55,99.61,85.0,0,43.27,2022.0,False,False
Parathyridaria sp.,Parathyridaria,1,['PCL'],4.55,99.61,85.0,0,43.27,2022.0,False,False
Parasarocladium sp.,Parasarocladium,1,['PCL'],4.55,99.61,85.0,0,43.27,2022.0,False,False
Bifidobacterium infantis,Bifidobacterium,1,['PP'],4.55,99.61,85.0,0,43.27,2022.0,False,False
Chitinophaga jiangningensis,Chitinophaga,1,['PLA'],4.55,99.61,85.0,0,43.27,2022.0,False,False
Nocardioidaceae bacterium,Nocardioidaceae,1,['PET'],4.55,99.61,85.0,0,43.27,2022.0,True,True
Roussoella scabrispora,Roussoella,1,['PU'],4.55,99.61,85.0,0,43.27,2022.0,False,False
Morinia sp.,Morinia,1,['PCL'],4.55,99.61,85.0,0,43.27,2022.0,False,False
Hypocreales sp.,Hypocreales,1,['PCL'],4.55,99.61,85.0,0,43.27,2022.0,False,False
Pseudophaeosphaeria rubi,Pseudophaeosphaeria,1,['PU'],4.55,99.61,85.0,0,43.27,2022.0,False,False
Staphylocuccus aureus,Staphylocuccus,1,['PVC'],4.55,99.61,85.0,0,43.27,2022.0,False,False
Ophiosimulans tanaceti,Ophiosimulans,1,['PU'],4.55,99.61,85.0,0,43.27,2022.0,False,False
Novosphingobium sp.,Novosphingobium,1,['PS'],4.55,99.61,85.0,0,43.27,2022.0,False,False
Nodulosphaeria multiseptata,Nodulosphaeria,1,['PU'],4.55,99.61,85.0,0,43.27,2022.0,False,False
Botryosphaeria dothidea,Botryosphaeria,1,['PCL'],4.55,99.61,85.0,0,43.27,2022.0,False,False
Actinomycetota bacterium,Actinomycetota,1,['PET'],4.55,99.61,85.0,0,43.27,2022.0,True,True
Phaeophleospora eucalypticola,Phaeophleospora,1,['PCL'],4.55,99.61,85.0,0,43.27,2022.0,False,False
Halobyssothecium obiones,Halobyssothecium,1,['PU'],4.55,99.61,85.0,0,43.27,2022.0,False,False
Paradendryphiella arenariae,Paradendryphiella,1,['PCL'],4.55,99.61,85.0,0,43.27,2022.0,False,False
Thermoanaerobacter sp.,Thermoanaerobacter,1,['PET'],4.55,99.61,85.0,0,43.27,2022.0,True,True
Septoriella sp.,Septoriella,1,['PCL'],4.55,99.61,85.0,0,43.27,2022.0,False,False
Sclerostagonospora lathyri,Sclerostagonospora,1,['PU'],4.55,99.61,85.0,0,43.27,2022.0,False,False
Sedecimiella taiwanensis,Sedecimiella,1,['PCL'],4.55,99.61,85.0,0,43.27,2022.0,False,False
Sphaeropsis sapinea,Sphaeropsis,1,['PCL'],4.55,99.61,85.0,0,43.27,2022.0,False,False
Escherichia coli,Escherichia,1,['PVC'],4.55,99.61,85.0,0,43.27,2022.0,False,False
Eupenicillium rubidurum,Eupenicillium,1,['PE'],4.55,99.61,85.0,0,43.27,2022.0,False,False
Brevibacterium sp.,Brevibacterium,1,['PS'],4.55,99.61,85.0,0,43.27,2022.0,False,False
Vagicola chlamydospora,Vagicola,1,['PU'],4.55,99.61,85.0,0,43.27,2022.0,False,False
Cytospora ceratosperma,Cytospora,1,['PCL'],4.55,99.61,85.0,0,43.27,2022.0,False,False
Pseudomassariosphaeria bromicola,Pseudomassariosphaeria,1,['PU'],4.55,99.61,85.0,0,43.27,2022.0,False,False
Eutypella sp.,Eutypella,1,['PCL'],4.55,99.61,85.0,0,43.27,2022.0,False,False
Embarria clematidis,Embarria,1,['PU'],4.55,99.61,85.0,0,43.27,2022.0,False,True
Murilentithecium clematidis,Murilentithecium,1,['PU'],4.55,99.61,85.0,0,43.27,2022.0,False,False
Neisseria sp.,Neisseria,1,['PVC'],4.55,99.61,85.0,0,43.27,2022.0,False,False
Neosartorya fischeri,Neosartorya,1,['PE'],4.55,99.61,85.0,0,43.27,2022.0,False,False
Acinetobacter sp.,Acinetobacter,2,"['LDPE', 'PU']",9.09,90.14,90.0,0,43.26,2023.0,False,False
Talaromyces verruculosus,Talaromyces,2,"['PBAT-Blend', 'PVA']",9.09,94.08,85.0,0,43.25,2022.0,False,True
Rhizobacter gummiphilus,Rhizobacter,2,"['NR', 'PET']",9.09,98.03,80.0,0,43.23,2021.0,True,True
Paecilomyces variotii,Paecilomyces,2,"['PHBV', 'PU']",9.09,98.03,80.0,0,43.23,2021.0,False,True
Xylaria sp.,Xylaria,1,['LDPE'],4.55,95.27,90.0,0,43.18,2023.0,False,True
Burkholderia ambifaria,Burkholderia,1,['LDPE'],4.55,95.27,90.0,0,43.18,2023.0,False,False
