organism,genus,n_plastics,plastics_degraded,breadth_score,rarity_score,recency_score,evidence_gap_score,novelty_potential,last_year,has_sequence,has_enzyme
Alkalihalobacillus algicola,Alkalihalobacillus,1,['PHB'],4.55,99.21,80.0,0,42.17,2021.0,False,True
Trichothecium roseum,Trichothecium,1,['PU'],4.55,99.21,80.0,0,42.17,2021.0,False,True
Alkalihalobacillus hwajinpoensis,Alkalihalobacillus,1,['PHB'],4.55,99.21,80.0,0,42.17,2021.0,False,True
Amauroderma calcigenum,Amauroderma,1,['PU'],4.55,99.21,80.0,0,42.17,2021.0,False,True
Neonectria sp.,Neonectria,1,['PU'],4.55,99.21,80.0,0,42.17,2021.0,False,True
Mycena sanguinolenta,Mycena,1,['PU'],4.55,99.21,80.0,0,42.17,2021.0,False,True
Mycosphaerella lateris,Mycosphaerella,1,['PU'],4.55,99.21,80.0,0,42.17,2021.0,False,True
Stagonosporopsis citrulli,Stagonosporopsis,1,['LDPE'],4.55,99.21,80.0,0,42.17,2021.0,False,True
Septoria sp.,Septoria,1,['PU'],4.55,99.21,80.0,0,42.17,2021.0,False,True
Septoria eucalyptorum,Septoria,1,['PU'],4.55,99.21,80.0,0,42.17,2021.0,False,True
Mycena galericulata,Mycena,1,['PU'],4.55,99.21,80.0,0,42.17,2021.0,False,True
Polyporus arcularius,Polyporus,1,['PU'],4.55,99.21,80.0,0,42.17,2021.0,False,True
Amauroderma sp.,Amauroderma,1,['PU'],4.55,99.21,80.0,0,42.17,2021.0,False,True
Nigrofomes melanoporus,Nigrofomes,1,['PU'],4.55,99.21,80.0,0,42.17,2021.0,False,True
Coniochaeta sp.,Coniochaeta,1,['PU'],4.55,99.21,80.0,0,42.17,2021.0,False,True
Polyporus tuberaster,Polyporus,1,['PU'],4.55,99.21,80.0,0,42.17,2021.0,False,True
Fulvifomes sp.,Fulvifomes,1,['PU'],4.55,99.21,80.0,0,42.17,2021.0,False,True
Stagonosporopsis dorenboschii,Stagonosporopsis,1,['PU'],4.55,99.21,80.0,0,42.17,2021.0,False,True
Enterobacter ludwigii,Enterobacter,1,['PE'],4.55,90.93,90.0,0,42.1,2023.0,False,False
Enterobacter hormaechei subsp. Xiangfangensis,Enterobacter,1,['PP'],4.55,90.93,90.0,0,42.1,2023.0,False,False
Stemphylium lucomagnoense,Stemphylium,1,['PU'],4.55,98.82,80.0,0,42.07,2021.0,False,True
Metarhizium robertsii,Metarhizium,1,['PU'],4.55,98.82,80.0,0,42.07,2021.0,False,True
Botrytis sp.,Botrytis,1,['PU'],4.55,98.82,80.0,0,42.07,2021.0,False,True
Gibberella sp.,Gibberella,1,['PU'],4.55,98.82,80.0,0,42.07,2021.0,False,True
Pycnoporus cinnabarinus,Pycnoporus,1,['PU'],4.55,98.82,80.0,0,42.07,2021.0,False,True
Perenniporia martia,Perenniporia,1,['PU'],4.55,98.82,80.0,0,42.07,2021.0,False,True
Colletotrichum theobromicola,Colletotrichum,1,['PU'],4.55,98.82,80.0,0,42.07,2021.0,False,True
Trichaptum biforme,Trichaptum,1,['PU'],4.55,98.42,80.0,0,41.97,2021.0,False,True
Agrocybe sp.,Agrocybe,1,['PU'],4.55,98.42,80.0,0,41.97,2021.0,False,True
Agrocybe praecox,Agrocybe,1,['PU'],4.55,98.42,80.0,0,41.97,2021.0,False,True
Trichaptum abietinum,Trichaptum,1,['PU'],4.55,98.42,80.0,0,41.97,2021.0,False,True
Agrocybe dura,Agrocybe,1,['PU'],4.55,98.42,80.0,0,41.97,2021.0,False,True
Trichaptum byssogenum,Trichaptum,1,['PU'],4.55,98.42,80.0,0,41.97,2021.0,False,True
Penicillium citrinum,Penicillium,4,"['LDPE', 'PBAT', 'PHB', 'PU']",18.18,73.96,90.0,0,41.95,2023.0,False,True
Acinetobacter septicus,Acinetobacter,1,['PS'],4.55,90.14,90.0,0,41.9,2023.0,False,False
Acinetobacter guillouiae,Acinetobacter,1,['PE'],4.55,90.14,90.0,0,41.9,2023.0,False,False
Talaromyces rugulosus,Talaromyces,1,['PCL'],4.55,94.08,85.0,0,41.88,2022.0,False,False
Talaromyces islandicus,Talaromyces,1,['PE'],4.55,94.08,85.0,0,41.88,2022.0,False,False
Diaporthe italiana,Diaporthe,1,['LDPE'],4.55,98.03,80.0,0,41.87,2021.0,False,True
Fomitopsis palustris,Fomitopsis,1,['PU'],4.55,98.03,80.0,0,41.87,2021.0,False,True
Fomitiporia neotropica,Fomitiporia,1,['PU'],4.55,98.03,80.0,0,41.87,2021.0,False,True
Fomitopsis sp.,Fomitopsis,1,['PU'],4.55,98.03,80.0,0,41.87,2021.0,False,True
Hypoxylon fendleri,Hypoxylon,1,['PU'],4.55,98.03,80.0,0,41.87,2021.0,False,True
Phellinus amazonicus,Phellinus,1,['PU'],4.55,98.03,80.0,0,41.87,2021.0,False,True
Phellinus apiahynus,Phellinus,1,['PU'],4.55,98.03,80.0,0,41.87,2021.0,False,True
Trametes sp.,Trametes,1,['PU'],4.55,98.03,80.0,0,41.87,2021.0,False,True
Heterobasidion sp.,Heterobasidion,1,['PU'],4.55,98.03,80.0,0,41.87,2021.0,False,True
Heterobasidion annosum,Heterobasidion,1,['PU'],4.55,98.03,80.0,0,41.87,2021.0,False,True
Fomitiporia sp.,Fomitiporia,1,['PU'],4.55,98.03,80.0,0,41.87,2021.0,False,True
Phellinus robustus,Phellinus,1,['PU'],4.55,98.03,80.0,0,41.87,2021.0,False,True
Alternaria tenuissima,Alternaria,1,['PVA'],4.55,93.69,85.0,0,41.79,2022.0,False,False
Alternaria chlamydospora,Alternaria,1,['PCL'],4.55,93.69,85.0,0,41.79,2022.0,False,False
Microbacterium oleivorans,Microbacterium,1,['PET'],4.55,97.63,80.0,0,41.77,2021.0,False,True
Verticillium dahliae,Verticillium,1,['PU'],4.55,97.24,80.0,0,41.67,2021.0,False,True
Comamonas testosteroni,Comamonas,2,"['PHA', 'PHB']",9.09,91.72,80.0,0,41.66,2021.0,True,True
Laceyella sp.,Laceyella,3,"['PBS', 'PBSA', 'PCL']",13.64,98.03,65.0,0,41.6,2018.0,False,True
Clonostachys buxi,Clonostachys,1,['PU'],4.55,96.84,80.0,0,41.57,2021.0,False,True
Clonostachys pnagiana,Clonostachys,1,['PU'],4.55,96.84,80.0,0,41.57,2021.0,False,True
Trichoderma fomiticola,Trichoderma,1,['PCL'],4.55,92.5,85.0,0,41.49,2022.0,False,False
Delftia acidovorans,Delftia,4,"['PHA', 'PHB', 'PLA', 'PU']",18.18,96.06,60.0,0,41.47,2017.0,True,True
Gloeophyllum odoratum,Gloeophyllum,1,['PU'],4.55,96.06,80.0,0,41.38,2021.0,False,True
Gloeophyllum abietinum,Gloeophyllum,1,['PU'],4.55,96.06,80.0,0,41.38,2021.0,False,True
Gloeophyllum sepiarium,Gloeophyllum,1,['PU'],4.55,96.06,80.0,0,41.38,2021.0,False,True
Vibrio proteolyticus,Vibrio,1,['PHA'],4.55,96.06,80.0,0,41.38,2021.0,False,True
Penicillium simplicissimum,Penicillium,5,"['PE', 'PET', 'PETG', 'PHB', 'PHBV']",22.73,73.96,80.0,0,41.31,2021.0,False,True
Thermobifida alba,Thermobifida,2,"['PCL', 'PET']",9.09,86.19,85.0,0,41.28,2022.0,True,True
Monocillium mucidum,Monocillium,1,['PBSA'],4.55,99.61,75.0,0,41.27,2020.0,False,True
Gibellulopsis nigrescens,Gibellulopsis,1,['PBSA'],4.55,99.61,75.0,0,41.27,2020.0,False,True
Stenotrophomonas pavanii,Stenotrophomonas,1,['PLA'],4.55,91.32,85.0,0,41.19,2022.0,False,True
Xylaria telfairii,Xylaria,1,['PU'],4.55,95.27,80.0,0,41.18,2021.0,False,True
Phoma aliena,Phoma,1,['PU'],4.55,95.27,80.0,0,41.18,2021.0,False,True
Cladosporium pseudocladosporioides,Cladosporium,2,"['PCL', 'PU']",9.09,85.8,85.0,0,41.18,2022.0,False,True
Cladosporium tenuissimum,Cladosporium,2,"['PCL', 'PU']",9.09,85.8,85.0,0,41.18,2022.0,False,True
Xylaria adscendens,Xylaria,1,['PU'],4.55,95.27,80.0,0,41.18,2021.0,False,True
Xylaria comosoides,Xylaria,1,['PU'],4.55,95.27,80.0,0,41.18,2021.0,False,True
Pyrenochaetopsis sp.,Pyrenochaetopsis,1,['PBSA'],4.55,98.82,75.0,0,41.07,2020.0,False,True
Acidovorax delafieldii,Acidovorax,3,"['PBS', 'PBSA', 'PHBH']",13.64,95.27,65.0,0,40.91,2018.0,True,True
Acinetobacter seifertii,Acinetobacter,1,['PCL'],4.55,90.14,85.0,0,40.9,2022.0,False,True
Cladosporium basi-inflatum,Cladosporium,1,['LDPE'],4.55,85.8,90.0,0,40.81,2023.0,False,False
Alternaria brassicae,Alternaria,1,['PU'],4.55,93.69,80.0,0,40.79,2021.0,False,True
Rhodococcus opacus,Rhodococcus,1,['PE'],4.55,85.4,90.0,0,40.71,2023.0,True,True
Rhodococcus sovatensis,Rhodococcus,1,['PU'],4.55,85.4,90.0,0,40.71,2023.0,False,False
Cephalosporium sp.,Cephalosporium,2,"['HDPE', 'PHB']",9.09,99.21,65.0,0,40.53,2018.0,False,True
Absidia sp.,Absidia,2,"['PHB', 'PLA']",9.09,99.21,65.0,0,40.53,2018.0,False,True
Azotobacter vinelandii,Azotobacter,2,"['PHA', 'PHB']",9.09,99.21,65.0,0,40.53,2018.0,True,True
Polyangium brachysporum,Polyangium,2,"['PCL', 'PET']",9.09,98.82,65.0,0,40.43,2018.0,True,True
Thermomonospora curvata,Thermomonospora,2,"['PCL', 'PET']",9.09,98.82,65.0,0,40.43,2018.0,True,True
Vibrio sp.,Vibrio,1,['PET'],4.55,96.06,75.0,0,40.38,2020.0,False,True
Parengyodontium album,Parengyodontium,2,"['PLA', 'PP']",9.09,98.42,65.0,0,40.33,2018.0,True,True
Mortierella sp.,Mortierella,2,"['PHB', 'PLA']",9.09,98.42,65.0,0,40.33,2018.0,False,True
Psychrobacillus sp.,Psychrobacillus,1,['PHBH'],4.55,99.61,70.0,0,40.27,2019.0,False,True
Rheinheimera sp.,Rheinheimera,1,['PHBH'],4.55,99.61,70.0,0,40.27,2019.0,False,True
Leucobacter sp.,Leucobacter,1,['HDPE'],4.55,99.61,70.0,0,40.27,2019.0,False,True
Agaricus subrufescens,Agaricus,1,['PU'],4.55,90.93,80.0,0,40.1,2021.0,False,True
Agaricus xanthodermus,Agaricus,1,['PU'],4.55,90.93,80.0,0,40.1,2021.0,False,True
Agaricus bisporus,Agaricus,1,['PU'],4.55,90.93,80.0,0,40.1,2021.0,False,True
Thermobifida halotolerans,Thermobifida,1,['PET'],4.55,86.19,85.0,0,39.91,2022.0,True,True
Acinetobacter johnsonii,Acinetobacter,1,['PS'],4.55,90.14,80.0,0,39.9,2021.0,True,True
Cupriavidus necator,Cupriavidus,3,"['LDPE', 'PHA', 'PHB']",13.64,90.93,65.0,0,39.82,2018.0,True,True
Cladosporium xanthochromaticum,Cladosporium,1,['PCL'],4.55,85.8,85.0,0,39.81,2022.0,False,False
Cladosporium xylophilum,Cladosporium,1,['PCL'],4.55,85.8,85.0,0,39.81,2022.0,False,False
Cladosporium allicinum,Cladosporium,1,['PCL'],4.55,85.8,85.0,0,39.81,2022.0,False,False
Cladosporium antropophilum,Cladosporium,1,['PCL'],4.55,85.8,85.0,0,39.81,2022.0,False,False
Cladosporium funiculosum,Cladosporium,1,['PCL'],4.55,85.8,85.0,0,39.81,2022.0,False,False
Cladosporium perangustum,Cladosporium,1,['PCL'],4.55,85.8,85.0,0,39.81,2022.0,False,False
Cladosporium ramotenellum,Cladosporium,1,['PCL'],4.55,85.8,85.0,0,39.81,2022.0,False,False
Cladosporium rectoides,Cladosporium,1,['PCL'],4.55,85.8,85.0,0,39.81,2022.0,False,False
Rhodopseudomonas palustris,Rhodopseudomonas,3,"['PBSA', 'PCL', 'PLA']",13.64,98.82,55.0,0,39.8,2016.0,True,True
Arthrobacter oryzae,Arthrobacter,2,"['PHB', 'PLA']",9.09,96.06,65.0,0,39.74,2018.0,False,True
Vibrio gazogenes,Vibrio,2,"['PCL', 'PET']",9.09,96.06,65.0,0,39.74,2018.0,True,True
Brevibacillus agri,Brevibacillus,3,"['HDPE', 'LDPE', 'PP']",13.64,90.53,65.0,0,39.72,2018.0,False,True
Trichoderma hamatum,Trichoderma,1,['PBSA'],4.55,92.5,75.0,0,39.49,2020.0,False,True
Paucimonas lemoignei,Paucimonas,2,"['PHA', 'PHB']",9.09,94.87,65.0,0,39.45,2018.0,True,True
Aliiglaciecola lipolytica,Aliiglaciecola,1,['PHBH'],4.55,99.61,65.0,0,39.27,2018.0,False,True
Phormidium lucidum,Phormidium,1,['LDPE'],4.55,99.61,65.0,0,39.27,2018.0,False,True
Undibacterium pigrum,Undibacterium,1,['PHBH'],4.55,99.61,65.0,0,39.27,2018.0,False,True
Oscillatoria subbrevis,Oscillatoria,1,['LDPE'],4.55,99.61,65.0,0,39.27,2018.0,False,True
Marasmius oreades,Marasmius,1,['PU'],4.55,99.61,65.0,0,39.27,2018.0,False,True
Aestuariibacter halophilus,Aestuariibacter,1,['PHBH'],4.55,99.61,65.0,0,39.27,2018.0,False,True
Sphingobacterium multivorum,Sphingobacterium,1,['LDPE'],4.55,99.61,65.0,0,39.27,2018.0,False,True
Chitinimonas sp.,Chitinimonas,1,['PHBH'],4.55,99.61,65.0,0,39.27,2018.0,False,True
Leptosphaeria sp.,Leptosphaeria,1,['PU'],4.55,99.61,65.0,0,39.27,2018.0,False,True
Hypocrea sp.,Hypocrea,1,['LDPE'],4.55,99.61,65.0,0,39.27,2018.0,False,True
Myrothecium gramineum,Myrothecium,1,['PU'],4.55,99.61,65.0,0,39.27,2018.0,False,True
Nesiotobacter exalbescens,Nesiotobacter,1,['LDPE'],4.55,99.61,65.0,0,39.27,2018.0,False,True
Clostridium botulinum,Clostridium,3,"['PBAT', 'PCL', 'PHBV']",13.64,96.45,55.0,0,39.2,2016.0,True,True
Ochrobactrum oryzae,Ochrobactrum,1,['LDPE'],4.55,99.21,65.0,0,39.17,2018.0,False,True
Ochrobactrum intermedium,Ochrobactrum,1,['LDPE'],4.55,99.21,65.0,0,39.17,2018.0,False,True
Ralstonia sp.,Ralstonia,2,"['LDPE', 'PHB']",9.09,93.69,65.0,0,39.15,2018.0,False,True
Bacillus subtilis,Bacillus,10,"['HDPE', 'LDPE', 'PCL', 'PE', 'PES', 'PET', 'PHB', 'PLA', 'PP', 'PU']",45.45,29.39,90.0,0,38.98,2023.0,True,True
Mortierella lignicola,Mortierella,1,['PHB'],4.55,98.42,65.0,0,38.97,2018.0,False,True
Geobacillus thermoleovorans,Geobacillus,1,['PLA'],4.55,98.42,65.0,0,38.97,2018.0,False,True
Citrobacter amalonaticus,Citrobacter,1,['LDPE'],4.55,98.03,65.0,0,38.87,2018.0,False,True
Trichoderma viride,Trichoderma,2,"['LDPE', 'PLA']",9.09,92.5,65.0,0,38.85,2018.0,False,True
Paracoccus denitrificans,Paracoccus,4,"['P3HV', 'PHA', 'PHB', 'PHBV']",18.18,97.24,45.0,0,38.76,2014.0,True,True
Vibrio parahaemolyticus,Vibrio,2,"['LLDPE Blend', 'PVA Blend']",9.09,96.06,60.0,0,38.74,2017.0,False,True
Alcaligenes sp.,Alcaligenes,2,"['PHB', 'PS']",9.09,95.66,60.0,0,38.64,2017.0,False,True
Cupriavidus sp.,Cupriavidus,2,"['PHA', 'PHB']",9.09,90.93,65.0,0,38.46,2018.0,False,True
Delftia tsuruhatensis,Delftia,1,['LDPE'],4.55,96.06,65.0,0,38.38,2018.0,False,True
Brevibacillus borstelensis,Brevibacillus,2,"['HDPE', 'LDPE']",9.09,90.53,65.0,0,38.36,2018.0,False,True
Salmonella sp.,Salmonella,1,['PS'],4.55,99.61,60.0,0,38.27,2017.0,False,True
Lulwoana uniseptata,Lulwoana,1,['PE'],4.55,99.61,60.0,0,38.27,2017.0,False,True
Monascus sp.,Monascus,1,['PU'],4.55,99.61,60.0,0,38.27,2017.0,False,True
Pseudoxanthomonas sp.,Pseudoxanthomonas,1,['PCL'],4.55,99.61,60.0,0,38.27,2017.0,False,True
Kitasatospora phosalacinea,Kitasatospora,1,['PHB'],4.55,99.61,60.0,0,38.27,2017.0,False,True
Kineococcus sp.,Kineococcus,1,['PCL'],4.55,99.61,60.0,0,38.27,2017.0,False,True
Penicillium roqueforti,Penicillium,2,"['PCL', 'PLA']",9.09,73.96,85.0,0,38.22,2022.0,False,True
Acidovorax facilis,Acidovorax,1,['PHBH'],4.55,95.27,65.0,0,38.18,2018.0,False,True
Acidovorax soli,Acidovorax,1,['PHBH'],4.55,95.27,65.0,0,38.18,2018.0,False,True
Mycosphaerella arachidis,Mycosphaerella,1,['PHB'],4.55,99.21,60.0,0,38.17,2017.0,False,True
Pseudoalteromonas lipolytica,Pseudoalteromonas,1,['PHBH'],4.55,94.87,65.0,0,38.08,2018.0,False,True
Metarhizium anisopliae,Metarhizium,1,['PHB'],4.55,98.82,60.0,0,38.07,2017.0,False,True
Halopseudomonas pelagia,Halopseudomonas,1,['PET'],4.55,98.82,60.0,0,38.07,2017.0,True,True
Exiguobacterium undae,Exiguobacterium,1,['PS'],4.55,94.08,65.0,0,37.88,2018.0,False,True
Marinobacter algicola,Marinobacter,1,['PHB'],4.55,94.08,65.0,0,37.88,2018.0,False,True
Exiguobacterium sibiricum,Exiguobacterium,1,['PS'],4.55,94.08,65.0,0,37.88,2018.0,False,True
Penicillium stoloniferum,Penicillium,1,['PU'],4.55,73.96,90.0,0,37.85,2023.0,False,False
Penicillium granulatum,Penicillium,1,['PP'],4.55,73.96,90.0,0,37.85,2023.0,False,False
Pseudomonas aeruginosa,Pseudomonas,11,"['HDPE', 'LDPE', 'PBSA', 'PE', 'PES', 'PET', 'PHB', 'PS', 'PU', 'PU Blend', 'PVC Blend']",50.0,19.13,90.0,0,37.78,2023.0,True,True
Microbacterium sp.,Microbacterium,1,['PCL'],4.55,97.63,60.0,0,37.77,2017.0,False,True
Microbacterium flavum,Microbacterium,1,['PHB'],4.55,97.63,60.0,0,37.77,2017.0,False,True
Paraphoma sp.,Paraphoma,2,"['PBS', 'PBSA']",9.09,96.06,55.0,0,37.74,2016.0,False,True
Paraphoma chrysanthemicola,Paraphoma,2,"['PBS', 'PBSA']",9.09,96.06,55.0,0,37.74,2016.0,False,True
Microbispora rosea,Microbispora,1,['PHB'],4.55,97.24,60.0,0,37.67,2017.0,False,True
Gloeophyllum trabeum,Gloeophyllum,1,['PSS'],4.55,96.06,60.0,0,37.38,2017.0,False,True
Cochliobolus sp.,Cochliobolus,1,['PVC'],4.55,99.61,55.0,0,37.27,2016.0,False,True
Pelosinus fermentans,Pelosinus,1,['PBAT'],4.55,99.61,55.0,0,37.27,2016.0,True,True
Stenotrophomonas rhizophila,Stenotrophomonas,1,['PVA'],4.55,91.32,65.0,0,37.19,2018.0,True,True
Stenotrophomonas humi,Stenotrophomonas,1,['LDPE'],4.55,91.32,65.0,0,37.19,2018.0,False,True
Stenotrophomonas geniculata,Stenotrophomonas,1,['PLA'],4.55,91.32,65.0,0,37.19,2018.0,False,True
Cladosporium subcinereum,Cladosporium,2,"['PHB', 'PLA']",9.09,85.8,65.0,0,37.18,2018.0,False,True
Brevundimonas diminuta,Brevundimonas,1,['PS'],4.55,98.42,55.0,0,36.97,2016.0,False,True
Acinetobacter pittii,Acinetobacter,1,['LDPE'],4.55,90.14,65.0,0,36.9,2018.0,False,True
Acinetobacter ursingii,Acinetobacter,1,['PLA'],4.55,90.14,65.0,0,36.9,2018.0,False,True
Talaromyces variabilis,Talaromyces,1,['PS'],4.55,94.08,60.0,0,36.88,2017.0,False,True
Citrobacter sedlakii,Citrobacter,1,['PS'],4.55,98.03,55.0,0,36.87,2016.0,False,True
Penicillium brevicompactum,Penicillium,1,['PVA'],4.55,73.96,85.0,0,36.85,2022.0,False,True
Penicillium polonicum,Penicillium,1,['PVA'],4.55,73.96,85.0,0,36.85,2022.0,False,False
Penicillium echinulatum,Penicillium,1,['PCL'],4.55,73.96,85.0,0,36.85,2022.0,False,False
Fusarium equiseti,Fusarium,3,"['PCL', 'PHB', 'PLA']",13.64,62.92,85.0,0,36.82,2022.0,False,True
Vibrio alginolyticus,Vibrio,2,"['LLDPE Blend', 'PVA Blend']",9.09,96.06,50.0,0,36.74,2015.0,False,True
Acremonium sp.,Acremonium,3,"['PHA', 'PHB', 'PHBV']",13.64,98.42,40.0,0,36.7,2013.0,False,True
Stenotrophomonas panacihumi,Stenotrophomonas,2,"['PE', 'PP']",9.09,91.32,55.0,0,36.56,2016.0,False,True
Emericella nidulans,Emericella,2,"['PCL', 'PU']",9.09,99.21,45.0,0,36.53,2014.0,False,True
Clostridium hathewayi,Clostridium,1,['PBAT'],4.55,96.45,55.0,0,36.48,2016.0,True,True
Mucor sp.,Mucor,2,"['LDPE', 'PHB']",9.09,98.42,45.0,0,36.33,2014.0,False,True
Pseudonocardia sp.,Pseudonocardia,1,['PLA'],4.55,99.21,50.0,0,36.17,2015.0,False,True
Acinetobacter oleivorans,Acinetobacter,1,['PES'],4.55,90.14,60.0,0,35.9,2017.0,False,True
Penicillium variabile,Penicillium,1,['PU'],4.55,73.96,80.0,0,35.85,2021.0,False,True
Penicillium crustosum,Penicillium,1,['PET'],4.55,73.96,80.0,0,35.85,2021.0,False,True
Streptomyces swartbergensis,Streptomyces,1,['PET'],4.55,56.61,100.0,0,35.52,2025.0,True,True
Gloeophyllum striatum,Gloeophyllum,1,['PSS'],4.55,96.06,50.0,0,35.38,2015.0,False,True
Leptothrix sp.,Leptothrix,5,"['PBAT', 'PBSA', 'PBST55', 'PCL', 'PES']",22.73,98.03,20.0,0,35.33,2009.0,False,True
Thermopolyspora flexuosa,Thermopolyspora,1,['PLA'],4.55,99.61,45.0,0,35.27,2014.0,False,True
Lentinus tigrinus,Lentinus,1,['PVC'],4.55,99.61,45.0,0,35.27,2014.0,False,True
Malbranchea cinnamomea,Malbranchea,1,['PU'],4.55,99.61,45.0,0,35.27,2014.0,False,True
Arthrographis kalrae,Arthrographis,1,['PU'],4.55,99.61,45.0,0,35.27,2014.0,False,True
Bacillus licheniformis,Bacillus,8,"['HDPE', 'LDPE', 'PE', 'PHB', 'PLA', 'PS', 'PU', 'PVC']",36.36,29.39,85.0,0,35.26,2022.0,True,True
Streptomyces gougerotti,Streptomyces,3,"['LDPE', 'PLA', 'PS']",13.64,56.61,85.0,0,35.24,2022.0,False,False
Paecilomyces sp.,Paecilomyces,2,"['PCL', 'PHA']",9.09,98.03,40.0,0,35.23,2013.0,False,True
Candida rugosa,Candida,1,['PU'],4.55,99.21,45.0,0,35.17,2014.0,False,True
Lichtheimia sp.,Lichtheimia,1,['PU'],4.55,99.21,45.0,0,35.17,2014.0,False,True
Fusarium pseudensiforme,Fusarium,1,['LDPE'],4.55,62.92,90.0,0,35.09,2023.0,False,True
Fusarium decemcellulare,Fusarium,1,['LDPE'],4.55,62.92,90.0,0,35.09,2023.0,False,True
Acremonium flavum,Acremonium,1,['PU'],4.55,98.42,45.0,0,34.97,2014.0,False,True
Laceyella sacchari,Laceyella,1,['PLA'],4.55,98.03,45.0,0,34.87,2014.0,False,True
Pseudozyma sp.,Pseudozyma,1,['PCL'],4.55,97.63,45.0,0,34.77,2014.0,False,True
Penicillium oxalicum,Penicillium,3,"['HDPE', 'LDPE', 'PCL']",13.64,73.96,60.0,0,34.58,2017.0,False,True
Fusarium verticillioides,Fusarium,2,"['PCL', 'PU']",9.09,62.92,80.0,0,34.46,2021.0,True,True
Fusarium culmorum,Fusarium,2,"['PCL', 'PU']",9.09,62.92,80.0,0,34.46,2021.0,False,True
Gongronella sp.,Gongronella,1,['PHA'],4.55,99.61,40.0,0,34.27,2013.0,False,True
Mycobacterium sp.,Mycobacterium,1,['PHA'],4.55,99.61,40.0,0,34.27,2013.0,False,True
Ulocladium sp.,Ulocladium,1,['PC'],4.55,99.61,40.0,0,34.27,2013.0,False,True
Chrysosporium sp.,Chrysosporium,1,['PC'],4.55,99.61,40.0,0,34.27,2013.0,False,True
Burkholderia gladioli,Burkholderia,1,['PU'],4.55,95.27,45.0,0,34.18,2014.0,False,True
Kocuria palustris,Kocuria,1,['LDPE'],4.55,99.21,40.0,0,34.17,2013.0,False,True
Fusarium fujikuroi,Fusarium,1,['PCL'],4.55,62.92,85.0,0,34.09,2022.0,False,False
Nocardiopsis sp.,Nocardiopsis,1,['PHA'],4.55,98.42,40.0,0,33.97,2013.0,False,True
Fomitopsis pinicola,Fomitopsis,1,['PVA'],4.55,98.03,40.0,0,33.87,2013.0,False,True
Cladosporium asperulatum,Cladosporium,1,['PU'],4.55,85.8,55.0,0,33.81,2016.0,False,True
Cladosporium montecillanum,Cladosporium,1,['PU'],4.55,85.8,55.0,0,33.81,2016.0,False,True
Cladosporium sphaerospermum,Cladosporium,1,['PLA'],4.55,85.8,55.0,0,33.81,2016.0,False,True
Diaphorobacter sp.,Diaphorobacter,3,"['PHA', 'PHB', 'PHBV']",13.64,98.82,25.0,0,33.8,2010.0,True,True
Aspergillus terreus,Aspergillus,6,"['HDPE', 'LDPE', 'PBSA', 'PE', 'PP', 'PU']",27.27,30.18,90.0,0,33.73,2023.0,False,True
Pseudomonas chlororaphis,Pseudomonas,8,"['LDPE', 'PCL', 'PES', 'PHA', 'PHBV', 'PHO', 'PLA', 'PU']",36.36,19.13,90.0,0,33.69,2023.0,True,True
Rhodospirillum rubrum,Rhodospirillum,2,"['PHA', 'PHB']",9.09,99.21,30.0,0,33.53,2011.0,True,True
Streptomyces hypolithicus,Streptomyces,1,['PU'],4.55,56.61,90.0,0,33.52,2023.0,False,False
Streptomyces avidinii,Streptomyces,1,['PBAT'],4.55,56.61,90.0,0,33.52,2023.0,False,False
Rhodococcus ruber,Rhodococcus,3,"['LDPE', 'PE', 'PS']",13.64,85.4,40.0,0,33.44,2013.0,True,True
Bdellovibrio bacteriovorus,Bdellovibrio,1,['PHA'],4.55,99.61,35.0,0,33.27,2012.0,True,True
Pseudonocardia alni,Pseudonocardia,1,['PLA'],4.55,99.21,35.0,0,33.17,2012.0,False,True
Lentzea waywayandensis,Lentzea,1,['PLA'],4.55,99.21,35.0,0,33.17,2012.0,False,True
Enterobacter asburiae,Enterobacter,1,['LDPE'],4.55,90.93,45.0,0,33.1,2014.0,False,True
Fusarium subglutinans,Fusarium,1,['PU'],4.55,62.92,80.0,0,33.09,2021.0,False,True
Fusarium proliferatum,Fusarium,1,['PU'],4.55,62.92,80.0,0,33.09,2021.0,False,True
Fusarium graminearum,Fusarium,1,['PU'],4.55,62.92,80.0,0,33.09,2021.0,False,True
Fusarium avenaceum,Fusarium,1,['PU'],4.55,62.92,80.0,0,33.09,2021.0,False,True
Fusarium tricinctum,Fusarium,1,['PU'],4.55,62.92,80.0,0,33.09,2021.0,False,True
Agromyces sp.,Agromyces,1,['Nylon'],4.55,98.03,35.0,0,32.87,2012.0,True,True
Penicillium aurantiogriseum,Penicillium,1,['PLA'],4.55,73.96,65.0,0,32.85,2018.0,False,True
Penicillium griseofulvum,Penicillium,1,['PU'],4.55,73.96,65.0,0,32.85,2018.0,False,True
Microbacterium paraoxydans,Microbacterium,1,['LDPE'],4.55,97.63,35.0,0,32.77,2012.0,False,True
Aspergillus oryzae,Aspergillus,6,"['LDPE', 'PBS', 'PBSA', 'PCL', 'PLA', 'PU']",27.27,30.18,85.0,0,32.73,2022.0,True,True
Chaetomium sp.,Chaetomium,1,['PE'],4.55,96.84,35.0,0,32.57,2012.0,False,True
Gracilibacillus sp.,Gracilibacillus,2,"['PHB', 'PHBV']",9.09,99.21,25.0,0,32.53,2010.0,False,True
